iter	Passed	Remaining
554	1274	1021
555	1275	1018
556	1277	1015
557	1278	1012
558	1281	1010
559	1283	1008
560	1284	1005
561	1285	1002
562	1287	999
563	1288	996
564	1290	993
565	1291	990
566	1293	987
567	1295	985
568	1297	982
569	1299	980
570	1300	977
571	1302	974
572	1304	971
573	1306	969
574	1307	966
575	1309	963
576	1311	961
577	1312	958
578	1314	955
579	1315	952
580	1317	949
581	1319	947
582	1320	944
583	1321	941
584	1322	938
585	1324	935
586	1326	933
587	1328	931
588	1330	928
589	1331	925
590	1333	922
591	1334	919
592	1335	916
593	1337	913
594	1338	910
595	1340	908
596	1342	906
597	1344	903
598	1345	900
599	1346	897
600	1348	895
601	1350	892
602	1351	889
603	1352	886
604	1353	884
605	1355	881
606	1357	879
607	1358	876
608	1359	873
609	1361	870
610	1362	867
611	1363	864
612	1365	861
613	1366	859
614	1367	856
615	1368	853
616	1370	850
617	1372	848
618	1374	845
619	1375	843
620	1377	840
621	1379	838
622	1380	835
623	1381	832
624	1383	829
625	1385	827
626	1387	825
627	1389	822
628	1390	820
629	1392	817
630	1394	815
631	1396	812
632	1397	810
633	1398	807
634	1400	804
635	1402	802
636	1403	799
637	1404	797
638	1406	794
639	1407	791
640	1408	788
641	1409	786
642	1411	783
643	1412	780
644	1413	778
645	1416	776
646	1418	774
647	1420	771
648	1422	769
649	1423	766
650	1424	763
651	1425	761
652	1427	758
653	1429	756
654	1432	754
655	1434	752
656	1436	750
657	1454	755
658	1455	753
659	1456	750
660	1458	747
661	1459	744
662	1460	742
663	1461	739
664	1462	736
665	1463	734
666	1466	731
667	1468	729
668	1470	727
669	1472	725
670	1473	722
671	1474	719
672	1475	717
673	1477	714
674	1478	711
675	1480	709
676	1482	707
677	1485	705
678	1486	702
679	1488	700
680	1489	697
681	1501	700
682	1502	697
683	1503	694
684	1505	692
685	1506	689
686	1507	686
687	1508	684
688	1510	681
689	1511	679
690	1516	678
691	1518	675
692	1519	673
693	1521	670
694	1522	668
695	1524	665
696	1525	663
697	1527	660
698	1528	658
699	1530	655
700	1533	654
701	1536	652
702	1538	649
703	1540	647
704	1541	645
705	1544	643
706	1549	641
707	1553	640
708	1555	638
709	1556	635
710	1558	633
711	1562	632
712	1563	629
713	1565	627
714	1566	624
715	1568	622
716	1569	619
717	1571	617
718	1572	614
719	1573	612
720	1576	610
721	1578	607
722	1580	605
723	1582	603
724	1584	601
725	1586	598
726	1587	596
727	1590	594
728	1593	592
729	1595	589
730	1596	587
731	1597	585
732	1599	582
733	1600	579
734	1601	577
735	1603	575
736	1605	572
737	1607	570
738	1608	568
739	1610	565
740	1611	563
741	1612	560
742	1613	558
743	1614	555
744	1615	553
745	1617	550
746	1618	548
747	1619	545
748	1621	543
749	1623	541
750	1625	538
751	1627	536
752	1629	534
753	1630	532
754	1632	529
755	1633	527
756	1635	525
757	1638	523
758	1639	520
759	1641	518
760	1642	515
761	1644	513
762	1645	511
763	1646	508
764	1647	506
765	1649	503
766	1651	501
767	1653	499
768	1654	496
769	1655	494
770	1656	492
771	1657	489
772	1659	487
773	1660	484
774	1661	482
775	1663	480
776	1664	477
777	1666	475
778	1667	473
779	1669	470
780	1670	468
781	1672	466
782	1673	463
783	1674	461
784	1677	459
785	1679	457
786	1681	455
787	1683	453
788	1685	450
789	1687	448
790	1689	446
791	1691	444
792	1692	441
793	1695	439
794	1697	437
795	1699	435
796	1701	433
797	1702	431
798	1703	428
799	1705	426
800	1707	424
801	1708	421
802	1709	419
803	1711	417
804	1713	415
805	1715	412
806	1716	410
807	1717	408
808	1718	405
809	1719	403
810	1721	401
811	1722	398
812	1723	396
813	1724	394
814	1727	392
815	1730	390
816	1734	388
817	1736	386
818	1737	384
819	1739	381
820	1742	379
821	1744	377
822	1745	375
823	1748	373
824	1751	371
825	1752	369
826	1754	366
827	1755	364
828	1757	362
829	1758	360
830	1759	357
831	1760	355
832	1761	353
833	1762	350
834	1763	348
835	1765	346
836	1767	344
837	1769	341
838	1770	339
839	1772	337
840	1773	335
841	1774	333
842	1776	330
843	1777	328
844	1780	326
845	1781	324
846	1783	322
847	1785	319
848	1786	317
849	1788	315
850	1790	313
851	1792	311
852	1793	309
853	1795	306
854	1796	304
855	1797	302
856	1799	300
857	1800	297
858	1801	295
859	1803	293
860	1804	291
861	1805	289
862	1806	286
863	1808	284
864	1809	282
865	1811	280
866	1813	278
867	1815	276
868	1816	273
869	1818	271
870	1819	269
871	1820	267
872	1822	265
873	1824	263
874	1826	260
875	1828	258
876	1831	256
877	1834	254
878	1836	252
879	1838	250
880	1841	248
881	1843	246
882	1845	244
883	1847	242
884	1848	240
885	1850	238
886	1851	235
887	1853	233
888	1854	231
889	1856	229
890	1859	227
891	1860	225
892	1862	223
893	1863	220
894	1865	218
895	1867	216
896	1868	214
897	1869	212
898	1871	210
899	1874	208
900	1880	206
901	1881	204
902	1883	202
903	1885	200
904	1887	198
905	1890	196
906	1892	194
907	1893	191
908	1894	189
909	1895	187
910	1896	185
911	1897	183
912	1898	180
913	1899	178
914	1900	176
915	1904	174
916	1906	172
917	1908	170
918	1909	168
919	1911	166
920	1912	164
921	1914	161
922	1915	159
923	1916	157
924	1921	155
925	1923	153
926	1925	151
927	1927	149
928	1929	147
929	1931	145
930	1932	143
931	1935	141
932	1937	139
933	1938	136
934	1939	134
935	1940	132
936	1942	130
937	1943	128
938	1944	126
939	1946	124
940	1949	122
941	1955	120
942	1959	118
943	1962	116
944	1979	115
945	1981	113
946	1983	110
947	1984	108
948	1986	106
949	1988	104
950	1991	102
951	1996	100
952	1999	98
953	2001	96
954	2003	94
955	2004	92
956	2005	90
957	2007	87
958	2008	85
959	2010	83
960	2012	81
961	2013	79
962	2015	77
963	2016	75
964	2018	73
965	2019	71
966	2020	68
967	2022	66
968	2026	64
969	2027	62
970	2029	60
971	2031	58
972	2032	56
973	2033	54
974	2035	52
975	2037	50
976	2038	47
977	2040	45
978	2041	43
979	2043	41
980	2044	39
981	2045	37
982	2046	35
983	2048	33
984	2049	31
985	2051	29
986	2052	27
987	2053	24
988	2055	22
989	2056	20
990	2059	18
991	2061	16
992	2063	14
993	2066	12
994	2067	10
995	2069	8
996	2073	6
997	2075	4
998	2078	2
999	2082	0
